TOKEN	MORPH	SEG_BME	LABEL
pampa	['Pampa']	['D', 'M', 'M', 'M', 'F']	['N']
de	['de']	['D', 'F']	['ADP']
huninman	['Hunin', 'man']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F']	['PROPN', 'Dat']
wawqiimi	['Wawqi', 'i', 'mi']	['D', 'M', 'M', 'M', 'F', 'U', 'D', 'F']	['N', 'Poss.1Sg', 'Asrt']
kasamintuman	['kasamintu', 'man']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'F']	['N', 'Dat']
aywashqa	['aywa', 'shqa']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['VTr', 'Prf']
hiluta	['Hilu', 'ta']	['D', 'M', 'M', 'F', 'D', 'F']	['N', 'Obj']
madihantsikmi	['madiha', 'ntsik', 'mi']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'M', 'F', 'D', 'F']	['VTr', '1Pl.Inc', 'Asrt']
tiñinapaq	['tiñi', 'na', 'paq']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F']	['V', 'Pot', 'Ben']
nunakunam	['Nuna', 'kuna', 'm']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'U']	['N', 'Pl', 'Asrt']
siwada	['siwada']	['D', 'M', 'M', 'M', 'M', 'F']	['N']
ayllupakuychaw	['ayllu', 'pa', 'ku', 'y', 'chaw']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'U', 'D', 'M', 'M', 'F']	['VTr', 'Exc', 'Refl/Mid', 'Inf', 'Loc']
hurkitawan	['hurkita', 'wan']	['D', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'F']	['N', 'Com']
pajata	['paja', 'ta']	['D', 'M', 'M', 'F', 'D', 'F']	['N', 'Obj']
tikrayan	['tikra', 'ya', 'n']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'U']	['VTr', 'Pl', '3']
tsaypitanam	['Tsay', 'pita', 'na', 'm']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F', 'U']	['PRON', 'Abl', 'Acp', 'Asrt']
karapu	['Karapu']	['D', 'M', 'M', 'M', 'M', 'F']	['PROPN']
markaqa	['marka', 'qa']	['D', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Top']
quchaman	['qucha', 'man']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F']	['N', 'Dat']
tikrashqa	['tikra', 'shqa']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['VTr', 'Prf']
kaykan	['ka', 'yka', 'n']	['D', 'F', 'D', 'M', 'F', 'U']	['AUX', 'Prog', '3']
aywayashqaatapis	['Aywa', 'ya', 'shqa', 'a', 'ta', 'pis']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'M', 'F', 'U', 'D', 'F', 'D', 'M', 'F']	['VTr', 'Pl', 'Prf', 'Poss.1Sg', 'Obj', 'Coord']
pesakuyaami	['pesa', 'ku', 'ya', 'a', 'mi']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'U', 'D', 'F']	['V', 'Refl/Mid', 'Pl', '1', 'Asrt']
niyaanaq	['ni', 'yaa', 'naq']	['D', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['VTr', 'Pl', 'Rpst']
tsaynam	['Tsay', 'na', 'm']	['D', 'M', 'M', 'F', 'D', 'F', 'U']	['PRON', 'Acp', 'Asrt']
lus	['lus']	['D', 'M', 'F']	['N']
rawraykaptin	['rawra', 'yka', 'pti', 'n']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F', 'U']	['VInt', 'Prog', 'Cnv', 'Poss.3']
punkuta	['punku', 'ta']	['D', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Obj']
tsaktakurqaa	['tsakta', 'ku', 'rqa', 'a']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Refl/Mid', 'Pst', '1']
tsaynam	['Tsay', 'na', 'm']	['D', 'M', 'M', 'F', 'D', 'F', 'U']	['PRON', 'Acp', 'Asrt']
ofisyuta	['ofisyu', 'ta']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Obj']
entregariptii	['entrega', 'ri', 'pti', 'i']	['D', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pct', 'Cnv', 'Poss.1']
ni	['ni']	['D', 'F']	['ADV']
sikyera	['sikyera']	['D', 'M', 'M', 'M', 'M', 'M', 'F']	['ADV']
ni	['ni']	['D', 'F']	['ADV']
leyinllapistsu	['leyi', 'n', 'lla', 'pis', 'tsu']	['D', 'M', 'M', 'F', 'U', 'D', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['VTr', '3', 'Lim', 'Coord', 'Neg']
manam	['Mana', 'm']	['D', 'M', 'M', 'F', 'U']	['ADV', 'Asrt']
watatsarqaraqtsu	['wata', 'tsa', 'rqa', 'raq', 'tsu']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['N', 'Transl', 'Pst', 'Inacp', 'Neg']
inawgurakushqan	['inawgura', 'ku', 'shqa', 'n']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'M', 'F', 'U']	['VTr', 'Refl/Mid', 'Prf', 'Poss.3']
wawqiiqa	['Wawqi', 'i', 'qa']	['D', 'M', 'M', 'M', 'F', 'U', 'D', 'F']	['N', 'Poss.1Sg', 'Top']
ñuspillaran	['ñuspi', 'lla', 'ran']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['N', 'Lim', 'Inacp']
kaykan	['ka', 'yka', 'n']	['D', 'F', 'D', 'M', 'F', 'U']	['AUX', 'Prog', '3']
qillqashqa	['Qillqa', 'shqa']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['VTr', 'Prf']
papelninkunata	['papel', 'ni', 'n', 'kuna', 'ta']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'U', 'D', 'M', 'M', 'F', 'D', 'F']	['N', '0', 'Poss.3', 'Pl', 'Obj']
rikaarirmi	['rikaa', 'ri', 'r', 'mi']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'U', 'D', 'F']	['VTr', 'Pct', 'Cnv', 'Asrt']
awtaq	['aw', 'taq']	['D', 'F', 'D', 'M', 'F']	['INTJ', 'Ctrs']
niyarqan	['ni', 'ya', 'rqa', 'n']	['D', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pl', 'Pst', '3']
dirigentikuna	['dirigenti', 'kuna']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['N', 'Pl']
llapampitam	['Llapa', 'm', 'pita', 'm']	['D', 'M', 'M', 'M', 'F', 'U', 'D', 'M', 'M', 'F', 'U']	['PRON', 'Poss.3', 'Abl', 'Asrt']
librarirquntsik	['libra', 'ri', 'rqu', 'ntsik']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'D', 'M', 'M', 'M', 'F']	['VTr', 'Pct', 'RecPst', '1Pl.Inc']
tsaynash	['Tsay', 'na', 'sh']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F']	['PRON', 'Acp', 'Nfh']
sonsuqa	['sonsu', 'qa']	['D', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Top']
kalyentina	['kalyenti', 'na']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'F']	['ADJ', 'Acp']
kombanta	['komba', 'n', 'ta']	['D', 'M', 'M', 'M', 'F', 'U', 'D', 'F']	['N', 'Poss.3', 'Obj']
pallarkur	['palla', 'rku', 'r']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Edu', 'Cnv']
wiluykurqunaq	['wilu', 'yku', 'rqu', 'naq']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['VTr', 'Intens', 'RecPst', 'Rpst']
matankanchaw	['matanka', 'n', 'chaw']	['D', 'M', 'M', 'M', 'M', 'M', 'F', 'U', 'D', 'M', 'M', 'F']	['N', 'Poss.3', 'Loc']
dyablutaqa	['dyablu', 'ta', 'qa']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'F']	['N', 'Obj', 'Top']
aywaa	['Aywa', 'a']	['D', 'M', 'M', 'F', 'U']	['VTr', '1']
uryapukaramushaq	['urya', 'pu', 'ka', 'ra', 'mu', 'shaq']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'M', 'F']	['VInt', 'Apl', 'Refl/Mid', 'Pct', 'Cis', 'Fut.1']
imanawpapis	['Imanaw', 'pa', 'pis']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F']	['ADV', 'Man', 'Coord']
yaykurqaami	['yayku', 'rqa', 'a', 'mi']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'U', 'D', 'F']	['VTr', 'Pst', '1', 'Asrt']
punuyninkunaman	['punu', 'y', 'ni', 'n', 'kuna', 'man']	['D', 'M', 'M', 'F', 'U', 'D', 'F', 'U', 'D', 'M', 'M', 'F', 'D', 'M', 'F']	['VInt', 'Inf', '0', 'Poss.3', 'Pl', 'Dat']
talbesnash	['Talbes', 'na', 'sh']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'F']	['ADV', 'Acp', 'Nfh']
tapuyan	['tapu', 'ya', 'n']	['D', 'M', 'M', 'F', 'D', 'F', 'U']	['VTr', 'Pl', '3']
maría	['María']	['D', 'M', 'M', 'M', 'F']	['PROPN']
koka	['Koka']	['D', 'M', 'M', 'F']	['PROPN']
willamay	['willa', 'ma', 'y']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'U']	['VTr', '1.Obj', 'Imp.2']
qishyashaqku	['qishya', 'shaq', 'ku']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F']	['VInt', 'Fut.1', 'Inter']
o	['o']	['U']	['CCONJ']
yamayllaku	['yamay', 'lla', 'ku']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'F']	['ADV', 'Lim', 'Inter']
kashaq	['ka', 'shaq']	['D', 'F', 'D', 'M', 'M', 'F']	['AUX', 'Fut.1']
pampa	['Pampa']	['D', 'M', 'M', 'M', 'F']	['N']
de	['de']	['D', 'F']	['ADP']
huninman	['Hunin', 'man']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F']	['PROPN', 'Dat']
chaariyarqaa	['chaa', 'ri', 'ya', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pct', 'Pl', 'Pst', '1']
tamya	['tamya']	['D', 'M', 'M', 'M', 'F']	['N']
pasarishqa	['pasa', 'ri', 'shqa']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'M', 'F']	['VInt', 'Pct', 'Prf']
veta	['Veta']	['D', 'M', 'M', 'F']	['UNK']
llanuyanqanmannawmi	['llanu', 'ya', 'nqa', 'n', 'man', 'naw', 'mi']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U', 'D', 'M', 'F', 'D', 'M', 'F', 'D', 'F']	['ADJ', 'Transf', 'Sub', 'Poss.3', 'Dat', 'Equ', 'Asrt']
qillayniipis	['qillay', 'ni', 'i', 'pis']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'U', 'D', 'M', 'F']	['N',  '0', 'Poss.1Sg', 'Coord']
karutsarqa	['karu', 'tsa', 'rqa']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['ADJ', 'Transl', 'Pst']
warmikunam	['Warmi', 'kuna', 'm']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'U']	['N', 'Pl', 'Asrt']
triiguta	['triigu', 'ta']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Obj']
llushtaykaayan	['llushta', 'ykaa', 'ya', 'n']	['D', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F', 'U']	['VTr', 'Prog', 'Pl', '3']
mayuchaw	['mayu', 'chaw']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['N', 'Loc']
allitam	['Alli', 'ta', 'm']	['D', 'M', 'M', 'F', 'D', 'F', 'U']	['ADV', 'Obj', 'Asrt']
nirinki	['ni', 'ri', 'nki']	['D', 'F', 'D', 'F', 'D', 'M', 'F']	['VTr', 'Pct', '2']
nir	['ni', 'r']	['D', 'F', 'U']	['VTr', 'Cnv']
hurqaramunaq	['hurqa', 'ra', 'mu', 'naq']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'F']	['VTr', 'Pct', 'Cis', 'Rpst']
bolsillumpita	['bolsillu', 'm', 'pita']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F', 'U', 'D', 'M', 'M', 'F']	['N', 'Poss.3', 'Abl']
kadenata	['kadena', 'ta']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Obj']
papaanii	['Papaa', 'ni', 'i']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'U']	['N',  '0', 'Poss.1Sg']
don	['don']	['D', 'M', 'F']	['N']
valentín	['Valentín']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F']	['PROPN']
bruno	['Bruno']	['D', 'M', 'M', 'M', 'F']	['PROPN']
i	['i']	['U']	['CCONJ']
mamaanii	['mamaa', 'ni', 'i']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'U']	['N',  '0', 'Poss.1Sg']
doña	['doña']	['D', 'M', 'M', 'F']	['N']
espírita	['Espírita']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F']	['PROPN']
quispe	['Quispe']	['D', 'M', 'M', 'M', 'M', 'F']	['PROPN']
awkinmi	['Awkin', 'mi']	['D', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Asrt']
uraykaamun	['ura', 'ykaa', 'mu', 'n']	['D', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F', 'U']	['VInt', 'Prog', 'Cis', '3']
markapita	['marka', 'pita']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['N', 'Abl']
tsayran	['Tsayran']	['D', 'M', 'M', 'M', 'M', 'M', 'F']	['ADV']
kedayarqaa	['keda', 'ya', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VInt', 'Pl', 'Pst', '1']
trankilu	['trankilu']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F']	['ADJ']
tsaynash	['Tsay', 'na', 'sh']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F']	['PRON', 'Acp', 'Nfh']
nirqunaq	['ni', 'rqu', 'naq']	['D', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['VTr', 'RecPst', 'Rpst']
bwenu	['Bwenu']	['D', 'M', 'M', 'M', 'F']	['INTJ']
shamushaqmi	['shamu', 'shaq', 'mi']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F']	['VTr', 'Fut.1', 'Asrt']
tal	['tal']	['D', 'M', 'F']	['DET']
diya	['diya']	['D', 'M', 'M', 'F']	['N']
tsaypitam	['Tsay', 'pita', 'm']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'U']	['PRON', 'Abl', 'Asrt']
las	['las']	['D', 'M', 'F']	['DET']
seisnawna	['seis', 'naw', 'na']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'F']	['NUM.Card', 'Equ', 'Acp']
pasakuyarqaa	['pasa', 'ku', 'ya', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VInt', 'Refl/Mid', 'Pl', 'Pst', '1']
sellama	['sellama']	['D', 'M', 'M', 'M', 'M', 'M', 'F']	['ADV']
tamya	['tamya']	['D', 'M', 'M', 'M', 'F']	['N']
puqllallakuykaqta	['puqlla', 'lla', 'ku', 'yka', 'q', 'ta']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U', 'D', 'F']	['VInt', 'Lim', 'Refl/Mid', 'Prog', 'Agt', 'Obj']
